加,(GIA - tham gia)
架,(GIÁ - cái giá)
巡,(TUẦN - tuần tra)
賀,(HẠ - chúc mừng)
挨拶,(TẠT - chào hỏi)
災,(TAI - tai họa)
章,(CHƯƠNG - văn chương)
俊,(TUẤN - tuấn tú)
障,(CHƯƠNG - chướng ngại)
彰,(CHƯƠNG - rực rỡ)
唆,(TOA - xúi giục)
酸,(TOAN - chua)
充,(SUNG - sung túc)
銃,(SÚNG - khẩu súng)
辛,(TÂN - cay)
統,(THỐNG - truyền thống)
辞,(TỪ - từ điển)
宰,(TỂ - tể tướng)
鉄,(THIẾT - sắt)
秩,(TRẬT - trật tự)
君,(QUÂN - em)
迭,(ĐIỆT - lần lượt)
群,(QUẦN - quần đảo)
郡,(QUẬN - quận huyện)
札,(TRÁT - tiền giấy)
礼,(LỄ - lễ nghi)
発,(PHÁT - phát triển)
孔,(KHỔNG - khổng tử)
廃,(PHẾ - tàn phế)
叫,(KHIẾU - kêu, hét)
収,(THU - thu nhập)
数,(SỐ - số học)
糾,(CỦ - xoắn)
楼,(LẦU - lâu đài)
類,(LOẠI - chủng loại)
急,(CẤP - khẩn cấp)
害,(HẠI - tổn hại)
隠,(ẨN - ẩn giấu)
割,(CÁT - vỡ)
穏,(ỔN - yên ổn)
轄,(HẠT - cai quản)
憲,(HIẾN - hiến pháp)
甲,(GIÁP - vỏ, áo giáp)
斉,(TỀ - ngang bằng)
岬,(GIÁP - vệ núi)
押,(ÁP - ấn)
済,(TẾ - kinh tế)
剤,(TẾ - dịch tể)
井,(TỈNH - cái giếng)
囲,(VI - chu vi)
職,(CHỨC - chức vụ)
丼,(ĐẢM - cái bát)
識,(THỨC - tri thức)
織,(CHỨC - dệt vải)
仰,(NGƯỠNG - ngưỡng mộ)
迎,(NGHÊNH - nghênh đón)
契,(KHẾ - khế ước)
抑,(ỨC - ức chế)
喫,(KHIẾT - ăn uống)
潔,(KHIẾT - thanh khiết)
弁,(BIỆN - biện luận)
弄,(LỘNG - chế nhạo)
升,(THĂNG - lên)
奔,(BÔN - chạy vội)
昇,(THĂNG - thăng chức)
飛,(PHI - bay)
臼,(CỮU - cối đá)
潟,(TÍCH - đất mặn)
巨,(CỰ - to, lớn)
毀,(HỦY - phá hủy)
拒,(CỰ - chống cự)
距,(CỰ - cự li)
不,(BẤT - không)
侯,(HẦU - tước hầu)
杯,(BÔI - cái chén)
否,(PHỦ - phủ định)
候,(HẬU - khí hậu)
喉,(HẦU - cổ họng)
促,(XÚC - xúc tiến)
了,(LIỄU - kết thúc)
捉,(TRÓC - nắm chặt)
承,(THỪA - thừa nhận)
徒,(ĐỒ - học sinh)
蒸,(CHƯNG - chưng cất)
長,(TRƯỜNG, TRƯỞNG - dài)
枚,(MAI - đếm tờ)
張,(TRƯƠNG - kéo dài)
帳,(TRƯỚNG - căng lên)
牧,(MỤC - du mục)
降,(GIÁNG - xuống)
散,(TÁN, TẢN - tản bộ)
丸,(HOÀN - tròn)
炎,(VIÊM - cháy lớn)
究,(CỨU - nghiên cứu)
染,(NHIỄM - ô nhiễm)
談,(ĐÀM - đàm thoại)
軌,(QUỸ - quỹ đạo)
淡,(ĐẠM - thanh đạm)
灰,(HÔI - tro)
脊,(TÍCH - xương sống)
明,(MINH - sáng)
骨,(CỐT - xương)
滑,(HOẠT - linh hoạt)
盟,(MINH - đồng minh)
棚,(BẰNG - cái giá)
背,(BỐI - cái lưng)
絹,(QUYÊN - lụa)
継,(KẾ - kế tục)
隣,(LÂN - lân cận)
断,(ĐOẠN - đoạn tuyệt)
歯,(XỈ - răng)
傑,(KIỆT - tuấn kiệt)
奥,(ÁO - bên trong)
瞬,(THUẤN - nháy mắt)
美,(MỸ - đẹp)
遅,(TRÌ - muộn)
菊,(CÚC - hoa cúc)
様,(DẠNG - hình dạng)
窯,(DIÊU - cái lò)
鳥,(ĐIỂU - con chim)
鳴,(MINH - kêu, hót)
島,(ĐẢO - hòn đảo)
鶴,(HẠC - con hạc)
崩,(BĂNG - phá hủy)
岩,(NHAM - nham thạch)
炭,(THÁN - than)
嵐,(LAM - cơn bão)
楽,(LẠC, NHẠC - âm nhạc, vui)
探,(THÁM - trình thám)
薬,(DƯỢC - thuốc)
世,(THẾ - thế giới)
深,(THÂM - sâu)
貫,(QUÁN - nhất quán)
秋,(THU - mùa thu)
愁,(SẦU - u sầu, buồn bã)
渓,(KHÊ - thung lũng)
扶,(PHÙ - phù hộ)
葉,(DIỆP - chiếc lá)
慣,(QUÁN - tập quán)
鶏,(KÊ - con gà)
冬,(ĐÔNG - mùa đông)
終,(CHUNG - kết thúc)
吉,(CÁT - vui vẻ)
高,(CAO - cao)
詰,(CẬT - hỏi vặn)
舎,(XÁ - phố xá)
矯正,(KIỀU - nắn thẳng)
捨,(XẢ - vứt bỏ)
委,(ỦY - ủy viên)
結,(KẾT - kết hôn)
稿,(CẢO - bản thảo)
橋,(KIỀU - cây cầu)
香,(HƯƠNG - hương thơm)
季,(QUÝ - mùa)
萎,(NUY - héo)
堂,(ĐƯỜNG - võ đường)
尚,(THƯỢNG - hòa thượng)
賞,(THƯỞNG - tiền thưởng)
同,(ĐỒNG - giống nhau)
銅,(ĐỒNG - chất đồng)
底,(ĐỂ - cái đáy)
掌,(CHƯỞNG - lòng bàn tay)
常,(THƯỜNG - bình thường)
償,(THƯỞNG - bồi thường)
低,(ĐÊ - thấp)
筒,(ĐỒNG - ống tre)
胴,(ĐỒNG - cơ thể)
抵,(ĐỂ - chống lại)
度,(ĐỘ - lần)
渡,(ĐỘ - vượt qua)
興,(HƯNG - hưng phấn)
